Cell Barcode	cell_angle
D5_lib8_bc1_11_bc2_82_bc3_81	253.14941
D5_lib8_bc1_11_bc2_83_bc3_45	274.6526
D5_lib8_bc1_11_bc2_84_bc3_24	129.39557
D5_lib8_bc1_11_bc2_84_bc3_44	77.46448
D5_lib8_bc1_11_bc2_84_bc3_56	317.8062
D5_lib8_bc1_11_bc2_85_bc3_69	128.22113
D5_lib8_bc1_11_bc2_85_bc3_86	334.48056
D5_lib8_bc1_11_bc2_87_bc3_37	280.7415
D5_lib8_bc1_11_bc2_88_bc3_93	118.739105
D5_lib8_bc1_11_bc2_8_bc3_15	202.57014
D5_lib8_bc1_11_bc2_8_bc3_2	184.13794
D5_lib8_bc1_11_bc2_8_bc3_31	224.49304
D5_lib8_bc1_11_bc2_90_bc3_39	250.63054
D5_lib8_bc1_11_bc2_90_bc3_91	76.42114
D5_lib8_bc1_11_bc2_91_bc3_16	59.665375
D5_lib8_bc1_11_bc2_91_bc3_47	41.964233
D5_lib8_bc1_11_bc2_92_bc3_69	240.74872
D5_lib8_bc1_11_bc2_93_bc3_16	95.22565
D5_lib8_bc1_11_bc2_93_bc3_6	143.56277
D5_lib8_bc1_11_bc2_95_bc3_47	168.4354
D5_lib8_bc1_11_bc2_96_bc3_13	194.08397
D5_lib8_bc1_11_bc2_96_bc3_15	51.368896
D5_lib8_bc1_11_bc2_96_bc3_79	186.48738
D5_lib8_bc1_11_bc2_96_bc3_82	216.03941
D5_lib8_bc1_11_bc2_9_bc3_19	250.8381
D5_lib8_bc1_11_bc2_9_bc3_37	308.51987
D5_lib8_bc1_12_bc2_10_bc3_21	221.25644
D5_lib8_bc1_12_bc2_10_bc3_45	111.44217
D5_lib8_bc1_12_bc2_10_bc3_74	316.491
D5_lib8_bc1_12_bc2_11_bc3_50	303.85892
D5_lib8_bc1_12_bc2_14_bc3_33	185.24965
D5_lib8_bc1_12_bc2_14_bc3_77	119.22409
D5_lib8_bc1_12_bc2_15_bc3_13	102.91031
D5_lib8_bc1_12_bc2_15_bc3_59	342.0047
D5_lib8_bc1_12_bc2_16_bc3_40	313.03214
D5_lib8_bc1_12_bc2_17_bc3_52	347.28882
D5_lib8_bc1_12_bc2_18_bc3_11	176.34451
D5_lib8_bc1_12_bc2_18_bc3_25	275.7578
D5_lib8_bc1_12_bc2_18_bc3_31	96.712006
D5_lib8_bc1_12_bc2_18_bc3_36	337.29144
D5_lib8_bc1_12_bc2_18_bc3_66	29.670471
D5_lib8_bc1_12_bc2_19_bc3_2	201.97731
D5_lib8_bc1_12_bc2_1_bc3_11	285.69598
D5_lib8_bc1_12_bc2_1_bc3_39	96.83237
D5_lib8_bc1_12_bc2_20_bc3_30	167.71701
D5_lib8_bc1_12_bc2_20_bc3_41	260.48892
D5_lib8_bc1_12_bc2_20_bc3_6	216.32393
D5_lib8_bc1_12_bc2_21_bc3_60	221.58655
D5_lib8_bc1_12_bc2_22_bc3_69	98.86456
D5_lib8_bc1_12_bc2_22_bc3_79	292.06592
D5_lib8_bc1_12_bc2_23_bc3_12	56.12091
D5_lib8_bc1_12_bc2_24_bc3_77	166.94434
D5_lib8_bc1_12_bc2_24_bc3_9	119.54379
D5_lib8_bc1_12_bc2_25_bc3_2	177.43663
D5_lib8_bc1_12_bc2_25_bc3_59	139.98914
D5_lib8_bc1_12_bc2_25_bc3_83	152.88826
D5_lib8_bc1_12_bc2_26_bc3_66	86.13046
D5_lib8_bc1_12_bc2_26_bc3_87	270.19565
D5_lib8_bc1_12_bc2_28_bc3_15	265.43884
D5_lib8_bc1_12_bc2_28_bc3_19	270.35098
D5_lib8_bc1_12_bc2_28_bc3_63	89.47955
D5_lib8_bc1_12_bc2_29_bc3_18	101.61484
D5_lib8_bc1_12_bc2_29_bc3_57	78.3819
D5_lib8_bc1_12_bc2_29_bc3_77	256.23425
D5_lib8_bc1_12_bc2_2_bc3_13	296.00662
D5_lib8_bc1_12_bc2_2_bc3_31	142.44662
D5_lib8_bc1_12_bc2_2_bc3_50	227.74626
D5_lib8_bc1_12_bc2_2_bc3_73	66.01929
