	gene_angle	correction_std	highly_variable	cycle_variable
SAUSA300_RS00995	15.8454895	0.5155442609099291	True	True
SAUSA300_RS01005	72.96959	0.3077956489289292	False	False
SAUSA300_RS01010	234.71942	0.6046198554815037	False	False
SAUSA300_RS01020	282.86578	0.4889916093429697	False	False
SAUSA300_RS01025	305.65393	0.6283463265082438	False	False
SAUSA300_RS01035	67.047005	0.3025944197732567	False	False
SAUSA300_RS01040	25.531769	0.3013856161912002	False	False
SAUSA300_RS01045	311.6089	0.6961529820605181	False	False
SAUSA300_RS01050	295.30115	0.7144224167299212	True	True
SAUSA300_RS01055	69.18326	0.20898725325266387	True	False
SAUSA300_RS01065	228.47728	1.0309413121471511	False	False
SAUSA300_RS01070	110.1068	0.4154522385324384	False	False
SAUSA300_RS01075	76.79803	0.24124318845874715	False	False
SAUSA300_RS01080	49.72484	0.4343074062612786	True	False
SAUSA300_RS01085	135.37999	0.5307147559438765	False	False
SAUSA300_RS01090	62.99215	0.1568209044890755	False	False
SAUSA300_RS01095	235.5583	0.5108718721481693	False	False
SAUSA300_RS01100	315.96423	0.5540796809559737	True	True
SAUSA300_RS01105	147.84357	0.584261328078847	False	False
SAUSA300_RS01110	115.16687	0.5102142161063113	True	True
SAUSA300_RS01115	112.81554	0.4592163624686364	True	False
SAUSA300_RS01120	70.11284	0.23977580659583023	True	False
SAUSA300_RS01125	144.78474	0.6103794130660833	False	False
SAUSA300_RS01130	129.10191	0.4124315895833629	False	False
SAUSA300_RS01135	233.79266	0.7534848957641387	False	False
SAUSA300_RS01140	11.931091	0.3834377216901703	False	False
SAUSA300_RS01145	72.24505	0.2270816424527203	False	False
SAUSA300_RS01150	159.23024	0.6331157687360396	False	False
SAUSA300_RS01155	58.929718	0.3814460154603544	False	False
SAUSA300_RS01160	88.899216	0.24890321557878378	False	False
SAUSA300_RS01170	112.62358	0.37531880091950903	False	False
SAUSA300_RS01180	111.38083	0.5756340342055971	True	True
SAUSA300_RS01195	148.99303	0.5970017384288786	False	False
SAUSA300_RS01200	103.14587	0.2655432479694335	False	False
SAUSA300_RS01220	104.95232	0.2640883529411143	True	False
SAUSA300_RS01225	113.6687	0.35347530718614084	False	False
SAUSA300_RS01240	51.113617	0.3007995109106333	True	False
