Cell Barcode	UMAP-1	UMAP-2
D5_lib8_bc1_12_bc2_29_bc3_57	5.576187	-1.1464627
D5_lib8_bc1_12_bc2_29_bc3_77	-5.4860477	1.3440261
D5_lib8_bc1_12_bc2_2_bc3_13	-5.646689	-2.754881
D5_lib8_bc1_12_bc2_2_bc3_31	3.5252495	4.585344
D5_lib8_bc1_12_bc2_2_bc3_50	-4.344599	3.9468722
D5_lib8_bc1_12_bc2_2_bc3_73	5.3818417	-2.3939805
D5_lib8_bc1_12_bc2_30_bc3_80	4.6517334	3.59032
D5_lib8_bc1_12_bc2_30_bc3_95	-0.14183521	-4.9142976
D5_lib8_bc1_12_bc2_31_bc3_2	4.6810837	2.2157907
D5_lib8_bc1_12_bc2_31_bc3_8	2.349722	4.7877364
D5_lib8_bc1_12_bc2_31_bc3_82	3.9703283	2.4997034
D5_lib8_bc1_12_bc2_32_bc3_13	4.816283	-3.9939976
D5_lib8_bc1_12_bc2_32_bc3_43	-5.0709257	-0.29852724
D5_lib8_bc1_12_bc2_33_bc3_47	5.1540585	2.6097856
D5_lib8_bc1_12_bc2_33_bc3_6	1.3834057	5.8982587
D5_lib8_bc1_12_bc2_33_bc3_7	-3.6254072	-0.2700553
D5_lib8_bc1_12_bc2_33_bc3_94	1.8038273	3.1795945
D5_lib8_bc1_12_bc2_34_bc3_95	1.8336544	-5.485789
D5_lib8_bc1_12_bc2_35_bc3_41	-0.19491434	3.1254506
D5_lib8_bc1_12_bc2_36_bc3_21	4.2884436	0.89494514
D5_lib8_bc1_12_bc2_36_bc3_89	3.3426037	4.7947373
D5_lib8_bc1_12_bc2_37_bc3_21	-2.4080915	3.8891006
D5_lib8_bc1_12_bc2_38_bc3_39	4.4532576	-3.9067285
D5_lib8_bc1_12_bc2_3_bc3_16	4.033267	-3.0779233
D5_lib8_bc1_12_bc2_3_bc3_47	2.7516174	-5.7235265
D5_lib8_bc1_12_bc2_40_bc3_12	5.5697727	0.9085784
D5_lib8_bc1_12_bc2_40_bc3_4	-5.731528	-1.0047262
