cell_angle	gene_angle	expression
-2.7955883	0.8526194	0.014875837
-2.7955883	0.90943074	-0.05577822
-2.7955883	0.98616624	-0.050292842
-2.7955883	1.0349038	-0.10278781
-2.7955883	1.1006563	-0.17044032
-2.7955883	1.16695	-0.22591758
-2.7955883	1.2283647	-0.21915513
-2.7955883	1.2860177	-0.34157425
-2.7955883	1.3462832	-0.43073332
-2.7955883	1.4076474	-0.34055328
-2.7955883	1.4790037	-0.46811783
-2.7955883	1.5389931	-0.4817153
-2.7955883	1.6047962	-0.5710399
-2.7955883	1.6589229	-0.620119
-2.7955883	1.726052	-0.55881053
-2.7955883	1.7914565	-0.6280699
-2.7955883	1.849828	-0.67824244
-2.7955883	1.9167464	-0.6766715
-2.7955883	1.9825475	-0.65076095
-2.7955883	2.0394747	-0.86007303
-2.7955883	2.1032088	-0.6346622
-2.7955883	2.1659925	-0.7758387
-2.7955883	2.2252357	-0.6939648
-2.7955883	2.2861564	-0.733629
-2.7955883	2.3562376	-0.66071063
-2.7955883	2.4195673	-0.7037791
-2.7955883	2.4821455	-0.6720824
-2.7955883	2.5445416	-0.73266906
-2.7955883	2.607569	-0.74845356
-2.7955883	2.673991	-0.6983993
-2.7955883	2.7405002	-0.6839158
-2.7955883	2.7970626	-0.6427652
-2.7955883	2.8593328	-0.64372236
-2.7955883	2.9301932	-0.6021172
-2.7955883	2.9837449	-0.5396472
-2.7955883	3.045716	-0.50940835
-2.7955883	3.1092842	-0.4240389
-2.7322357	-3.1105087	-0.71168935
-2.7322357	-3.0466485	-0.66462165
-2.7322357	-2.9849415	-0.5361502
-2.7322357	-2.9266996	-0.64665145
-2.7322357	-2.8614807	-0.5849771
-2.7322357	-2.7943614	-0.6052211
-2.7322357	-2.7317448	-0.50326186
-2.7322357	-2.6744542	-0.4462374
-2.7322357	-2.6036892	-0.51995355
-2.7322357	-2.5419345	-0.37743726
-2.7322357	-2.481099	-0.4185185
-2.7322357	-2.4203305	-0.41323957
-2.7322357	-2.3581228	-0.42860168
-2.7322357	-2.2966204	-0.31862903
-2.7322357	-2.2276394	-0.29992884
-2.7322357	-2.1718416	-0.27348265
-2.7322357	-2.1018038	-0.16069573
-2.7322357	-2.0481963	-0.24859825
-2.7322357	-1.9814297	-0.17674972
-2.7322357	-1.9159212	-0.18582276
-2.7322357	-1.8559505	-0.18964826
-2.7322357	-1.7988051	-0.12510097
-2.7322357	-1.728445	-0.17955524
-2.7322357	-1.6636312	-0.0034901672
-2.7322357	-1.5978097	-0.06590142
-2.7322357	-1.5414871	-0.020364163
-2.7322357	-1.4817711	-0.035198916
-2.7322357	-1.4183853	-0.018476047
-2.7322357	-1.3484714	0.050998125
-2.7322357	-1.2974786	0.14667279
-2.7322357	-1.2255405	0.07601076
-2.7322357	-1.1582689	0.04335483
-2.7322357	-1.0968113	0.14592946
-2.7322357	-1.03948	0.12547702
-2.7322357	-0.9765947	0.25288025
-2.7322357	-0.912997	0.17643985
-2.7322357	-0.8470843	0.27970076
-2.7322357	-0.78261423	0.25724304
-2.7322357	-0.72857594	0.21374543
-2.7322357	-0.65876913	0.28972656
-2.7322357	-0.6003947	0.32520658
-2.7322357	-0.5386982	0.35360512
-2.7322357	-0.46863675	0.2763019
-2.7322357	-0.41355753	0.40762845
-2.7322357	-0.34690762	0.31677282
-2.7322357	-0.28091502	0.39615008
-2.7322357	-0.2254548	0.27656907
-2.7322357	-0.16383696	0.48307392
-2.7322357	-0.099280834	0.37683603
-2.7322357	-0.031149387	0.3370027
-2.7322357	0.023422956	0.41108298
-2.7322357	0.09518695	0.35728574
-2.7322357	0.15850925	0.46469384
-2.7322357	0.22248673	0.28369987
-2.7322357	0.29175448	0.23654762
-2.7322357	0.3427229	0.3361031
-2.7322357	0.4089749	0.2169582
-2.7322357	0.46765304	0.12610261
-2.7322357	0.53337574	0.2884577
-2.7322357	0.59359264	0.17284082
-2.7322357	0.6631508	0.07005977
-2.7322357	0.7255933	0.04516992
-2.7322357	0.785414	0.049989346
-2.7322357	0.8526194	-0.021777526
-2.7322357	0.90943074	-0.12130856
-2.7322357	0.98616624	-0.07721995
-2.7322357	1.0349038	-0.18131335
-2.7322357	1.1006563	-0.26514035
-2.7322357	1.16695	-0.3351702
-2.7322357	1.2283647	-0.3185203
-2.7322357	1.2860177	-0.40827632
-2.7322357	1.3462832	-0.5194909
-2.7322357	1.4076474	-0.43846747
-2.7322357	1.4790037	-0.5803555
-2.7322357	1.5389931	-0.5809292
-2.7322357	1.6047962	-0.69617003
-2.7322357	1.6589229	-0.7072775
-2.7322357	1.726052	-0.6657931
-2.7322357	1.7914565	-0.6962819
-2.7322357	1.849828	-0.76934475
-2.7322357	1.9167464	-0.7957126
-2.7322357	1.9825475	-0.78759784
-2.7322357	2.0394747	-0.96038014
-2.7322357	2.1032088	-0.71464115
-2.7322357	2.1659925	-0.8710773
-2.7322357	2.2252357	-0.87448394
-2.7322357	2.2861564	-0.7973989
-2.7322357	2.3562376	-0.76129514
-2.7322357	2.4195673	-0.8273903
