Genes	Promoters - promoters upstream of gene	Regulation - transcription units of gene	Transcription Units	Regulation - transcription factor regulators of gene	Accession-1
G7301		TU686	TU686	CPLX0-7797 // G7308-MONOMER // MONOMER0-183 // CPLX0-226	b2484
G7302		TU686	TU686	CPLX0-7797 // G7308-MONOMER // MONOMER0-183 // CPLX0-226	b2485
G7303		TU686	TU686	CPLX0-7797 // G7308-MONOMER // MONOMER0-183 // CPLX0-226	b2486
G7304		TU686	TU686	CPLX0-7797 // G7308-MONOMER // MONOMER0-183 // CPLX0-226	b2487
G7305		TU686	TU686	CPLX0-7797 // G7308-MONOMER // MONOMER0-183 // CPLX0-226	b2488
G7306		TU686	TU686	CPLX0-7797 // G7308-MONOMER // MONOMER0-183 // CPLX0-226	b2489
G7307		TU686	TU686	CPLX0-7797 // G7308-MONOMER // MONOMER0-183 // CPLX0-226	b2490
G7308		TU686	TU686	CPLX0-7797 // G7308-MONOMER // MONOMER0-183 // CPLX0-226	b2491
G6277		TU0-7603	TU0-7603	CPLX0-8071 // G7072-MONOMER	b0508
EG10483	PM00210 // PM00210	TU0-8344 // TU00154	TU0-8344 // TU00154	CPLX0-7756 // PC00027 // MONOMER0-183	b2726
EG10484	PM00574 // PM00574	TU0-8345 // TU0-8344 // TU00424 // TU00154	TU0-8345 // TU0-8344 // TU00424 // TU00154	CPLX0-7797 // CPLX0-7756 // PC00027 // MONOMER0-183	b2727
EG10485		TU0-8345 // TU0-8344 // TU00424 // TU00154	TU0-8345 // TU0-8344 // TU00424 // TU00154	CPLX0-7797 // CPLX0-7756 // PC00027 // MONOMER0-183	b2728
EG10486		TU0-8345 // TU0-8344 // TU00424 // TU00154	TU0-8345 // TU0-8344 // TU00424 // TU00154	CPLX0-7797 // CPLX0-7756 // PC00027 // MONOMER0-183	b2729
EG10487		TU0-8345 // TU0-8344 // TU00424 // TU00154	TU0-8345 // TU0-8344 // TU00424 // TU00154	CPLX0-7797 // CPLX0-7756 // PC00027 // MONOMER0-183	b2730
EG11551	PM0-9568 // PM0-9567 // PM0-9566	TU0-14407 // TU0-14406 // TU0-14405 // TU424	TU0-14407 // TU0-14406 // TU0-14405 // TU424	PC00061 // MONOMER0-183 // CPLX0-3930	b2712
G7924		TU0-14198	TU0-14198		b4327
G7492		TU0-13776	TU0-13776		b2873
EG12407	PM0-9997	TU0-13063	TU0-13063	G7072-MONOMER	b0828
G7925		TU0-14199	TU0-14199		b4328
EG10488		TU0-8811	TU0-8811		b2753
G7657	PM0-46203 // PM0-36160	TU0-42495 // TU0-13888	TU0-42495 // TU0-13888	EG12008-MONOMER	b3190
EG11534	PM00512	TU00407	TU00407	PD00353 // G7072-MONOMER	b3687
EG11535	PM0-5241	TU0-5001 // TU00407	TU0-5001 // TU00407	PC00027 // PD00353 // G7072-MONOMER	b3686
G0-10633					b4667
G0-10632					b4668
G0-10631	PM0-46456	TU0-45157	TU0-45157		b4665
G0-10630	PM0-46457	TU0-45158	TU0-45158		b4664
G0-10629					b4666
EG10489	PM00575 // PM00149	TU00425 // TU00107	TU00425 // TU00107	PC00061 // PHOSPHO-ARCA // PC00027 // G7072-MONOMER	b1136
EG10491	PM0-4528	TU0-4288	TU0-4288	CPLX0-7605 // PD01520	b4018
G7508		TU0-13786	TU0-13786		b2889
G0-16685	PM0-46517	TU0-45219 // TU0-14766	TU0-45219 // TU0-14766	CPLX0-7797 // MONOMER0-160 // PD00353	b4722
G7893	PM0-4922	TU0-4682	TU0-4682	PD03585 // MONOMER0-1301 // CPLX0-226 // EG12386-MONOMER	b4267
EG12152	PM0-4921	TU0-4681	TU0-4681	PD03585 // G7891-MONOMER // CPLX0-226 // EG12386-MONOMER	b4268
G7892		TU0-4682	TU0-4682	PD03585 // MONOMER0-1301 // CPLX0-226 // EG12386-MONOMER	b4266
G7891	PM0-5164	TU0-4924 // TU0-4682	TU0-4924 // TU0-4682	PD03585 // MONOMER0-1301 // CPLX0-226 // EG12386-MONOMER	b4264
EG12539		TU0-4682	TU0-4682	PD03585 // MONOMER0-1301 // CPLX0-226 // EG12386-MONOMER	b4265
G7741		TU0-13928	TU0-13928	PHOSPHO-ARCA	b3398
EG10440	PM00241	TU0-14257 // TU0-6626 // TU00174	TU0-14257 // TU0-6626 // TU00174	CPLX0-7756 // G7072-MONOMER // PC00027	b1712
EG10441	PM0-46583 // PM00242	TU0-45280 // TU565 // TU564 // TU00175	TU0-45280 // TU565 // TU564 // TU00175	PC00027	b0912
EG10492	PM0-9709 // PM0-9553 // PM0-9552	TU0-14465 // TU0-14395 // TU0-14394 // TU00291	TU0-14465 // TU0-14395 // TU0-14394 // TU00291		b0026
EG30043		TU0-45165 // TU0-14486 // TU0-1181	TU0-45165 // TU0-14486 // TU0-1181	MONOMER0-155 // CPLX0-7705	b3852
EG30044		TU0-45227 // TU0-1192 // TU0-1191	TU0-45227 // TU0-1192 // TU0-1191	PD00288 // MONOMER0-155 // CPLX0-7705	b3277
EG30045		TU0-45269 // TU0-1190 // TU0-1189	TU0-45269 // TU0-1190 // TU0-1189	PD00288 // MONOMER0-155 // CPLX0-7705	b0202
