Cell Barcode	UMAP-1	UMAP-2
D1_lib8_bc1_12_bc2_14_bc3_20	-5.6904993	-2.015899
D1_lib8_bc1_12_bc2_14_bc3_37	-0.3168521	3.476142
D1_lib8_bc1_12_bc2_14_bc3_53	3.1803393	2.6903229
D1_lib8_bc1_12_bc2_14_bc3_82	-5.6261406	1.5036082
D1_lib8_bc1_12_bc2_15_bc3_54	3.432589	4.722597
D1_lib8_bc1_12_bc2_15_bc3_83	1.2593007	2.77114
D1_lib8_bc1_12_bc2_16_bc3_12	-6.0310707	0.37136936
D1_lib8_bc1_12_bc2_16_bc3_5	5.5970693	2.2683086
D1_lib8_bc1_12_bc2_18_bc3_62	-5.467924	-2.5082765
D1_lib8_bc1_12_bc2_18_bc3_91	-6.503257	-0.34281588
D1_lib8_bc1_12_bc2_19_bc3_74	4.291186	-5.3860865
D1_lib8_bc1_12_bc2_19_bc3_76	-4.0892525	-5.315732
D1_lib8_bc1_12_bc2_21_bc3_17	-1.0132971	4.754405
D1_lib8_bc1_12_bc2_21_bc3_18	0.35860443	3.620081
D1_lib8_bc1_12_bc2_22_bc3_20	-0.36840582	5.229085
D1_lib8_bc1_12_bc2_22_bc3_40	0.7208233	-7.200016
D1_lib8_bc1_12_bc2_22_bc3_43	5.146808	2.8146992
D1_lib8_bc1_12_bc2_23_bc3_84	-2.971732	2.78858
D1_lib8_bc1_12_bc2_24_bc3_44	2.6383758	-2.0246968
D1_lib8_bc1_12_bc2_24_bc3_67	0.17048311	4.1850014
D1_lib8_bc1_12_bc2_24_bc3_7	-3.8757272	5.2177095
D1_lib8_bc1_12_bc2_24_bc3_74	-1.1442194	-4.8505273
D1_lib8_bc1_12_bc2_25_bc3_71	1.640286	-6.5742536
D1_lib8_bc1_12_bc2_26_bc3_22	1.755518	2.9304218
D1_lib8_bc1_12_bc2_29_bc3_29	-3.505814	5.7458143
D1_lib8_bc1_12_bc2_29_bc3_56	2.811768	5.6229887
D1_lib8_bc1_12_bc2_30_bc3_80	-5.053291	-0.7181959
D1_lib8_bc1_12_bc2_31_bc3_23	-6.511492	2.437275
D1_lib8_bc1_12_bc2_31_bc3_63	-1.2122931	4.7053957
D1_lib8_bc1_12_bc2_32_bc3_74	5.1305203	-4.990301
