	gene_angle	correction_std	highly_variable	cycle_variable
b4033	102.32037	0.46135050904158964	False	False
b4034	131.00365	0.4169101936459275	False	False
b4036	139.34503	0.19281537573914578	False	False
b4039	123.30002	0.2589050426013342	False	False
b4040	134.41998	0.21855237419584603	False	False
b4041	109.40106	0.3185248644935841	False	False
b4042	95.91739	0.3673347988883885	False	False
b4043	107.58284	0.3556483024986798	False	False
b4044	100.4462	0.34944271078726163	False	False
b4045	160.09074	0.35154342251496196	False	False
b4046	182.77127	0.5194462943135617	False	False
b4049	128.33946	0.21925942484441888	False	False
b4050	89.5791	0.3596413675515914	False	False
b4051	125.32695	0.18269075541804483	False	False
b4052	134.06525	0.2717240446017725	False	False
b4053	170.77884	0.3849800025650316	True	False
b4054	174.14705	0.4152469470862141	False	False
b4055	39.81024	0.8461199727975383	False	False
b4056	141.79803	0.19763868760059497	False	False
b4057	90.53549	0.4685264248041617	False	False
b4058	114.677704	0.2283952705421908	False	False
b4059	125.6541	0.3050096078951306	False	False
b4060	38.518677	0.5589925956396948	False	False
b4061	153.15585	0.4079200436444685	False	False
b4063	49.32794	0.7976952654313361	False	False
b4064	132.38437	0.3491730418374107	False	False
b4065	168.8593	0.2905279867390053	False	False
b4067	176.4542	0.5383390609802082	True	False
b4069	89.69803	0.48592172928008237	True	False
b4070	143.59119	0.3336641801030629	False	False
b4077	145.49619	0.43707860614177296	True	False
b4078	128.52382	0.4448362148667812	False	False
b4079	105.673615	0.5984557038595092	False	False
b4083	94.35797	0.5312018977432607	False	False
b4088	315.96616	0.790710818306199	False	False
b4089	188.75798	0.3598350016742242	True	False
b4487	125.87326	0.3255938281316393	False	False
b4108	147.39021	0.26911144468657766	False	False
b4109	111.89203	0.4023519151778919	False	False
b4111	161.56287	0.20544985799712673	False	False
b4703	224.74982	0.5150503612318245	False	False
b4112	155.61244	0.2599119780998156	False	False
b4113	189.0694	0.2927618529691217	False	False
b4114	37.19751	0.6239238829031721	False	False
b4117	202.08414	0.364926232429591	False	False
b4119	180.64148	0.3506577508669272	False	False
b4120	104.40927	0.44810993036719554	False	False
b4121	116.21068	0.4502232469151709	False	False
b4122	27.12912	0.93117861194311	False	False
b4123	334.53918	0.6987578345441515	False	False
b4124	181.98344	0.394141101448571	False	False
