cell_angle	gene_angle	expression
-2.8594494	-3.0425024	-0.6852088
-2.8594494	-2.9859805	-0.7020576
-2.8594494	-2.9254093	-0.69214344
-2.8594494	-2.8621008	-0.7219881
-2.8594494	-2.793789	-0.7152528
-2.8594494	-2.7288628	-0.5632948
-2.8594494	-2.6726892	-0.52084845
-2.8594494	-2.6110296	-0.5489661
-2.8594494	-2.5438232	-0.5370534
-2.8594494	-2.481728	-0.46463844
-2.8594494	-2.4194777	-0.6512956
-2.8594494	-2.356198	-0.42582425
-2.8594494	-2.2991128	-0.46134517
-2.8594494	-2.2237759	-0.35823682
-2.8594494	-2.1641412	-0.40697068
-2.8594494	-2.106731	-0.30939752
-2.8594494	-2.0381565	-0.26311117
-2.8594494	-1.9820864	-0.29597765
-2.8594494	-1.9139458	-0.24071023
-2.8594494	-1.845742	-0.2610706
-2.8594494	-1.7929845	-0.17852305
-2.8594494	-1.7332125	-0.22150457
-2.8594494	-1.664613	-0.128234
-2.8594494	-1.6004579	-0.17557997
-2.8594494	-1.5372016	-0.17650712
-2.8594494	-1.4737895	-0.11744965
-2.8594494	-1.4143283	-0.051008716
-2.8594494	-1.3504637	-0.0061269808
-2.8594494	-1.286574	0.03598135
-2.8594494	-1.2294288	-0.010194358
-2.8594494	-1.1617773	0.14796801
-2.8594494	-1.0991879	0.03958193
-2.8594494	-1.0390701	0.087424256
-2.8594494	-0.9705756	0.08912369
-2.8594494	-0.91467595	0.28651005
-2.8594494	-0.84836125	0.19471675
-2.8594494	-0.78868604	0.16966732
-2.8594494	-0.72499704	0.22302012
-2.8594494	-0.6600969	0.16480379
-2.8594494	-0.5979724	0.22425783
-2.8594494	-0.53507614	0.3458019
-2.8594494	-0.4735973	0.29187262
-2.8594494	-0.40828252	0.28800833
-2.8594494	-0.34730387	0.32028708
-2.8594494	-0.27862787	0.40256935
-2.8594494	-0.22182775	0.3392332
-2.8594494	-0.15465188	0.36318746
-2.8594494	-0.09927273	0.38500518
-2.8594494	-0.0318861	0.44644335
-2.8594494	0.02799201	0.4322068
