	N	D	A
200	3070	-2.4214263426363303	-0.76100373
201	3070	-2.4193498392144424	1.5292761
202	3070	-2.4168022646121	-0.8750789
203	3070	-2.4151020766734486	-2.205661
204	3070	-2.409971732495511	-1.0317545
205	3070	-2.4080522528004416	-1.7504846
206	3070	-2.407795058765136	-1.2107933
207	3070	-2.405594019284047	-1.7649493
208	3070	-2.4026863730322767	-0.34924316
209	3070	-2.400753356809033	-1.550583
210	3070	-2.398649780330797	-1.3145032
211	3070	-2.3978781982248805	-1.8236198
212	3070	-2.3941962625615587	-2.3502238
213	3070	-2.390422278506654	-1.128221
214	3070	-2.3833535034942033	-1.0014577
215	3070	-2.379019107172896	-2.095005
216	3070	-2.3635820504432927	-0.9069319
217	3070	-2.3611752557339596	-1.7427753
218	3070	-2.360750208749297	-2.723911
219	3070	-2.357506856598812	-1.6813809
220	3070	-2.353091241108461	-1.3945432
221	3070	-2.34906547762952	-1.5967889
222	3070	-2.338531351404531	-2.0798485
223	3070	-2.3354423156752295	-2.2338643
224	3070	-2.3349008545482706	-0.84033704
225	3070	-2.324334240655664	-1.0437067
226	3070	-2.3172329779755962	-0.96009517
227	3070	-2.313775748679962	-1.0337422
228	3070	-2.30943864505302	-1.1075885
229	3070	-2.308017309594753	-0.5878551
230	3070	-2.2975237929542858	3.0719945
231	3070	-2.2773787317257734	-1.442662
232	3070	-2.2737401129526082	-0.9464812
233	3070	-2.2695383746074063	-0.8564918
234	3070	-2.2572607435536094	-1.1176617
235	3070	-2.2558800176798637	-0.90622044
236	3070	-2.2465398132398198	-1.3546665
237	3070	-2.2460768639762696	-1.6207738
238	3070	-2.2447827718828375	-1.3615614
239	3070	-2.2430852912498205	-1.490369
240	3070	-2.2390378693258017	-0.50021577
241	3070	-2.236964073209548	-0.0061957836
242	3070	-2.2324537020219792	-1.0130279
243	3070	-2.229283447123634	-1.7019805
244	3070	-2.2255175849856337	-1.0615411
245	3070	-2.2252928786179456	-0.92340565
246	3070	-2.221318553946066	-0.28866506
247	3070	-2.2177124228405187	-0.21850324
248	3070	-2.211485619880489	-2.558889
249	3070	-2.2092548000374177	-0.7987027
250	3070	-2.2081177316708036	-1.6683671
251	3070	-2.199419158666206	-1.2297515
252	3070	-2.198731503034968	-1.037667
253	3070	-2.1962516110734955	-2.552183
254	3070	-2.1950874696505336	-0.5256791
255	3070	-2.1896782729922126	-2.4041772
256	3070	-2.186943894301069	-0.9440625
257	3070	-2.182880228543241	-0.25919318
258	3070	-2.1695548702087786	-0.180897
259	3070	-2.1628705325964686	-1.7005535
260	3070	-2.161806561481994	-0.7635689
261	3070	-2.143621589533074	-0.7259748
262	3070	-2.1364634734346746	-1.0238152
263	3070	-2.1303964015070984	-1.2208235
