	tu	genes
327	TU1TQS1916	SAUSA300_RS01705
328	TU1TQS183	SAUSA300_RS01710
329	TU1TQS184	SAUSA300_RS01715
330	TU1TQS185	SAUSA300_RS01720
334	TU1TQS186	SAUSA300_RS01725
333	TU1TQS186	SAUSA300_RS01730
332	TU1TQS186	SAUSA300_RS01735
331	TU1TQS186	SAUSA300_RS01740
335	TU1TQS187	SAUSA300_RS01745
336	TU1TQS188	SAUSA300_RS01750
2921	TU1TQS189	SAUSA300_RS01755
2920	TU1TQS189	SAUSA300_RS01760
2919	TU1TQS189	SAUSA300_RS01765
2918	TU1TQS189	SAUSA300_RS01770
337	TU1TQS190	SAUSA300_RS01775
338	TU1TQS191	SAUSA300_RS01780
339	TU1TQS192	SAUSA300_RS01785
340	TU1TQS1915	SAUSA300_RS01790
343	TU1TQS193	SAUSA300_RS01795
342	TU1TQS193	SAUSA300_RS01800
341	TU1TQS193	SAUSA300_RS01805
344	TU1TQS1914	SAUSA300_RS01810
345	TU1TQS194	SAUSA300_RS01815
346	TU1TQS195	SAUSA300_RS01820
349	TU1TQS196	SAUSA300_RS01825
348	TU1TQS196	SAUSA300_RS01830
347	TU1TQS196	SAUSA300_RS01835
351	TU1TQS197	SAUSA300_RS01840
350	TU1TQS197	SAUSA300_RS01845
352	TU1TQS198	SAUSA300_RS01850
356	TU1TQS199	SAUSA300_RS01855
355	TU1TQS199	SAUSA300_RS01860
354	TU1TQS199	SAUSA300_RS01865
353	TU1TQS199	SAUSA300_RS01870
357	TU1TQS1913	SAUSA300_RS01875
358	TU1TQS1912	SAUSA300_RS01885
359	TU1TQS200	SAUSA300_RS01890
363	TU1TQS201	SAUSA300_RS01895
362	TU1TQS201	SAUSA300_RS01900
361	TU1TQS201	SAUSA300_RS01905
360	TU1TQS201	SAUSA300_RS01910
364	TU1TQS203	SAUSA300_RS01915
367	TU1TQS204	SAUSA300_RS01920
366	TU1TQS204	SAUSA300_RS01925
365	TU1TQS204	SAUSA300_RS01930
2924	TU1TQS205	SAUSA300_RS01935
